########## WARNING SNAPSHOT ##########
==================== THREAD LEAK MAINTENANCE ====================
level=WARNING
---- [1] process basic info ----
processName=thread_victim
bundleName=unknown
pid=2231
uid=0
threadCount=2101
appState=unknown
---- [2] hidumper thread maintenance (-p 2231 --thread) ----
Thread num: 2101
Top 10 Thread Names:
1	TL_Anim_0
1	TL_Anim_1
1	TL_Anim_10
1	TL_Anim_100
1	TL_Anim_101
1	TL_Anim_102
1	TL_Anim_103
1	TL_Anim_104
1	TL_Anim_11
1	TL_Anim_12

---- [3] per-thread run state and cpu run time ----
thread_total=2101
tid	state	cpuUsage	cpuLoad	name
2393	S	0	0	TL_IO_8
2394	S	0	0	TL_Net_8
2395	S	0	0	TL_Render_8
2396	S	0	0	TL_Audio_8
2397	S	0	0	TL_Codec_8
2398	S	0	0	TL_GC_8
2399	S	0	0	TL_Timer_8
2400	S	0	0	TL_IPC_8
2401	S	0	0	TL_DB_8
2402	S	0	0	TL_Cache_8
2403	S	0	0	TL_Sensor_8
2404	S	0	0	TL_Anim_8
2405	S	0	0	TL_Upload_8
2406	S	0	0	TL_Download_8
2407	S	0	0	TL_Parser_8
2408	S	0	0	TL_Watchdog_8
2409	S	0	0	TL_Event_8
2410	S	0	0	TL_Sync_8
2411	S	0	0	TL_Log_8
2412	S	0	0	TL_Worker_9
2413	S	0	0	TL_IO_9
2414	S	0	0	TL_Net_9
2415	S	0	0	TL_Render_9
2416	S	0	0	TL_Audio_9
2417	S	0	0	TL_Codec_9
2418	S	0	0	TL_GC_9
2419	S	0	0	TL_Timer_9
2420	S	0	0	TL_IPC_9
2421	S	0	0	TL_DB_9
2422	S	0	0	TL_Cache_9
2423	S	0	0	TL_Sensor_9
2424	S	0	0	TL_Anim_9
2425	S	0	0	TL_Upload_9
2426	S	0	0	TL_Download_9
2427	S	0	0	TL_Parser_9
2428	S	0	0	TL_Watchdog_9
2429	S	0	0	TL_Event_9
2430	S	0	0	TL_Sync_9
2431	S	0	0	TL_Log_9
2432	S	0	0	TL_Worker_10
2433	S	0	0	TL_IO_10
2434	S	0	0	TL_Net_10
2435	S	0	0	TL_Render_10
2436	S	0	0	TL_Audio_10
2437	S	0	0	TL_Codec_10
2438	S	0	0	TL_GC_10
2439	S	0	0	TL_Timer_10
2440	S	0	0	TL_IPC_10
2441	S	0	0	TL_DB_10
2442	S	0	0	TL_Cache_10
2443	S	0	0	TL_Sensor_10
2444	S	0	0	TL_Anim_10
2445	S	0	0	TL_Upload_10
2446	S	0	0	TL_Download_10
2447	S	0	0	TL_Parser_10
2448	S	0	0	TL_Watchdog_10
2449	S	0	0	TL_Event_10
2450	S	0	0	TL_Sync_10
2451	S	0	0	TL_Log_10
2452	S	0	0	TL_Worker_11
2453	S	0	0	TL_IO_11
2454	S	0	0	TL_Net_11
2455	S	0	0	TL_Render_11
2456	S	0	0	TL_Audio_11
2457	S	0	0	TL_Codec_11
2458	S	0	0	TL_GC_11
2459	S	0	0	TL_Timer_11
2460	S	0	0	TL_IPC_11
2461	S	0	0	TL_DB_11
2462	S	0	0	TL_Cache_11
2463	S	0	0	TL_Sensor_11
2464	S	0	0	TL_Anim_11
2465	S	0	0	TL_Upload_11
2466	S	0	0	TL_Download_11
2467	S	0	0	TL_Parser_11
2468	S	0	0	TL_Watchdog_11
2469	S	0	0	TL_Event_11
2470	S	0	0	TL_Sync_11
2471	S	0	0	TL_Log_11
2472	S	0	0	TL_Worker_12
2473	S	0	0	TL_IO_12
2474	S	0	0	TL_Net_12
2475	S	0	0	TL_Render_12
2476	S	0	0	TL_Audio_12
2477	S	0	0	TL_Codec_12
2478	S	0	0	TL_GC_12
2479	S	0	0	TL_Timer_12
2480	S	0	0	TL_IPC_12
2481	S	0	0	TL_DB_12
2482	S	0	0	TL_Cache_12
2483	S	0	0	TL_Sensor_12
2484	S	0	0	TL_Anim_12
2485	S	0	0	TL_Upload_12
2486	S	0	0	TL_Download_12
2487	S	0	0	TL_Parser_12
2488	S	0	0	TL_Watchdog_12
2489	S	0	0	TL_Event_12
2490	S	0	0	TL_Sync_12
2491	S	0	0	TL_Log_12
2492	S	0	0	TL_Worker_13
2493	S	0	0	TL_IO_13
2494	S	0	0	TL_Net_13
2495	S	0	0	TL_Render_13
2496	S	0	0	TL_Audio_13
2497	S	0	0	TL_Codec_13
2498	S	0	0	TL_GC_13
2499	S	0	0	TL_Timer_13
2500	S	0	0	TL_IPC_13
2501	S	0	0	TL_DB_13
2502	S	0	0	TL_Cache_13
2503	S	0	0	TL_Sensor_13
2504	S	0	0	TL_Anim_13
2505	S	0	0	TL_Upload_13
2506	S	0	0	TL_Download_13
2507	S	0	0	TL_Parser_13
2508	S	0	0	TL_Watchdog_13
2509	S	0	0	TL_Event_13
2510	S	0	0	TL_Sync_13
2511	S	0	0	TL_Log_13
2512	S	0	0	TL_Worker_14
2513	S	0	0	TL_IO_14
2514	S	0	0	TL_Net_14
2515	S	0	0	TL_Render_14
2516	S	0	0	TL_Audio_14
2517	S	0	0	TL_Codec_14
2518	S	0	0	TL_GC_14
2519	S	0	0	TL_Timer_14
