subsystem	component	repository_path	repository	bundle_path	rk3568_selected	adapted_system_types	component_dependency_count	third_party_dependency_count	declared_sub_component_count	inner_kit_count	declared_test_entry_count	gn_target_count	production_target_count	test_target_count	build_support_target_count	aggregate_codegen_target_count
communication	dhcp	foundation/communication/dhcp	communication_dhcp	foundation/communication/dhcp/bundle.json	yes	small,standard	14	1	0	0	2	50	15	27	8	0
communication	dsoftbus	foundation/communication/dsoftbus	communication_dsoftbus	foundation/communication/dsoftbus/bundle.json	yes	mini,small,standard	43	8	0	9	4	977	47	889	27	14
communication	fusion_connectivity	foundation/communication/fusion_connectivity	communication_fusion_connectivity	foundation/communication/fusion_connectivity/bundle.json	yes	standard	22	0	0	1	2	71	29	19	14	9
communication	ipc	foundation/communication/ipc	communication_ipc	foundation/communication/ipc/bundle.json	yes	standard,small,mini	17	0	3	12	1	424	40	342	32	10
communication	netmanager_base	foundation/communication/netmanager_base	communication_netmanager_base	foundation/communication/netmanager_base/bundle.json	yes	standard	51	0	0	19	2	220	102	83	27	8
communication	netmanager_cangjie_wrapper	foundation/communication/netmanager_cangjie_wrapper	netmanager_netmanager_cangjie_wrapper	foundation/communication/netmanager_cangjie_wrapper/bundle.json	no	standard	4	0	4	2	0	5	4	0	0	1
communication	netmanager_ext	foundation/communication/netmanager_ext	communication_netmanager_ext	foundation/communication/netmanager_ext/bundle.json	yes	standard	44	0	0	9	1	165	77	48	22	18
communication	netstack	foundation/communication/netstack	communication_netstack	foundation/communication/netstack/bundle.json	yes	standard	29	0	0	10	1	100	41	41	13	5
communication	nfc	foundation/communication/nfc	communication_nfc	foundation/communication/nfc/bundle.json	no	standard	30	0	0	7	1	271	29	215	16	11
communication	t2stack	foundation/communication/t2stack	communication_t2stack	foundation/communication/t2stack/bundle.json	yes	mini,small,standard	8	8	0	0	0	27	13	5	8	1
communication	wifi	foundation/communication/wifi	communication_wifi	foundation/communication/wifi/wifi/bundle.json	yes	small,standard	46	2	0	0	2	178	75	58	30	15
communication	wifi_aware	foundation/communication/wifi_aware	communication_wifi_aware	foundation/communication/wifi_aware/bundle.json	no	small,standard	0	0	1	0	0	1	1	0	0	0
communication	wifi_lite	foundation/communication/wifi_lite	communication_wifi_lite	foundation/communication/wifi_lite/bundle.json	no	mini	0	0	1	0	0	2	0	0	1	1
